MaxImprovementRemovedGenes;pathCost;counter
0;170;61
1;170;70
2;170;64
3;170;72
4;170;71
5;170;73
6;170;75
7;170;67
8;170;76
9;170;76
10;170;85
11;170;67
12;170;59
13;170;77
14;170;65
15;170;84
16;170;82
17;170;70
18;170;72
19;170;66
20;170;66
21;170;74
22;170;80
23;170;58
24;170;66
25;170;69
26;170;82
27;170;64
28;170;72
29;170;78
30;170;67
31;170;71
32;170;60
33;170;59
34;170;68
35;170;59
36;170;66
37;170;61
38;170;61
39;170;59
40;170;70
41;170;74
42;170;65
43;170;64
44;170;66
45;170;69
46;170;61
47;170;63
48;170;63
49;170;65
50;170;69
51;170;66
52;170;59
53;170;57
54;170;62
55;170;56
56;170;84
57;170;64
58;170;66
59;170;55
60;170;65
61;170;65
62;170;63
63;170;59
64;170;69
65;170;70
66;170;60
67;170;67
68;170;62
69;170;67
70;170;69
71;170;60
72;170;61
73;170;61
74;170;69
75;170;73
76;170;67
77;170;66
78;170;57
79;170;61
80;170;65
81;170;56
82;170;65
83;170;60
84;170;66
85;170;65
86;170;80
87;170;72
88;170;63
89;170;64
90;170;60
91;170;62
92;170;67
93;170;54
94;170;63
95;170;68
96;170;66
97;170;64
98;170;64
99;170;74
