Population (2020),Yearly Change,World Share,country,users_amount
164689383,1.01,2.11,Bangladesh,34400000
212559417,0.72,2.73,Brazil,142000000
37742154,0.89,0.48,Canada,33100000
102334404,1.94,1.31,Egypt,45900000
65273511,0.22,0.84,France,52100000
83783942,0.32,1.07,Germany,70900000
1380004385,0.99,17.7,India,467000000
273523615,1.07,3.51,Indonesia,139000000
60461826,-0.15,0.78,Italy,43900000
126476461,-0.3,1.62,Japan,78400000
128932753,1.06,1.65,Mexico,81800000
220892340,2.0,2.83,Pakistan,71700000
109581078,1.35,1.41,Philippines,57700000
51269185,0.09,0.66,South Korea,46000000
46754778,0.04,0.6,Spain,40700000
69799978,0.25,0.9,Thailand,43900000
84339067,1.09,1.08,Turkey,57900000
67886011,0.53,0.87,United Kingdom,57100000
331002651,0.59,4.25,United States,246000000
97338579,0.91,1.25,Vietnam,63000000
