New York, New York, Average Temperature, January
Units: Degrees Fahrenheit
Base Period: 1895-2023
Missing: -99
Date,Value,Anomaly
189501,28.9,-3.1
189601,28.5,-3.5
189701,29.3,-2.7
189801,33.9,1.9
189901,29.8,-2.2
190001,31.1,-0.9
190101,31.5,-0.5
190201,29.4,-2.6
190301,29.4,-2.6
190401,23.6,-8.4
190501,27.0,-5.0
190601,36.1,4.1
190701,32.6,0.6
190801,30.7,-1.3
190901,32.5,0.5
191001,29.6,-2.4
191101,34.3,2.3
191201,23.0,-9.0
191301,40.0,8.0
191401,30.7,-1.3
191501,33.7,1.7
191601,35.2,3.2
191701,32.1,0.1
191801,20.9,-11.1
191901,34.9,2.9
192001,23.2,-8.8
192101,33.2,1.2
192201,27.9,-4.1
192301,29.3,-2.7
192401,32.0,0.0
192501,27.8,-4.2
192601,31.3,-0.7
192701,30.3,-1.7
192801,33.3,1.3
192901,31.3,-0.7
193001,32.7,0.7
193101,32.1,0.1
193201,42.6,10.6
193301,39.7,7.7
193401,33.9,1.9
193501,28.2,-3.8
193601,28.7,-3.3
193701,39.6,7.6
193801,31.5,-0.5
193901,31.6,-0.4
194001,24.4,-7.7
194101,28.8,-3.2
194201,30.1,-1.9
194301,30.1,-1.9
194401,33.3,1.3
194501,24.6,-7.4
194601,33.5,1.5
194701,36.5,4.5
194801,24.5,-7.5
194901,37.7,5.7
195001,40.8,8.8
195101,35.5,3.5
195201,35.3,3.3
195301,36.8,4.8
195401,30.2,-1.8
195501,30.3,-1.7
195601,31.6,-0.4
195701,28.1,-3.9
195801,31.5,-0.5
195901,30.8,-1.2
196001,33.5,1.5
196101,27.3,-4.7
196201,32.2,0.2
196301,29.7,-2.3
196401,35.2,3.2
196501,29.3,-2.7
196601,31.7,-0.3
196701,36.8,4.8
196801,26.2,-5.8
196901,31.3,-0.7
197001,24.6,-7.4
197101,26.6,-5.4
197201,34.7,2.7
197301,35.2,3.2
197401,34.9,2.9
197501,37.0,5.0
197601,27.0,-5.0
197701,21.9,-10.1
197801,27.8,-4.2
197901,32.8,0.8
198001,32.7,0.7
198101,25.1,-6.9
198201,25.0,-7.0
198301,33.4,1.4
198401,28.7,-3.3
198501,27.7,-4.3
198601,33.1,1.1
198701,31.9,-0.1
198801,29.0,-3.0
198901,36.8,4.8
199001,40.8,8.8
199101,34.3,2.3
199201,35.2,3.2
199301,35.8,3.8
199401,25.0,-7.0
199501,37.5,5.5
199601,30.9,-1.1
199701,32.5,0.5
199801,40.4,8.4
199901,34.3,2.3
200001,31.7,-0.3
200101,34.0,2.0
200201,40.3,8.3
200301,27.9,-4.1
200401,25.1,-6.9
200501,31.7,-0.3
200601,41.3,9.3
200701,37.9,5.9
200801,36.9,4.9
200901,28.3,-3.7
201001,32.9,0.9
201101,30.1,-1.9
201201,37.7,5.7
201301,35.5,3.5
201401,28.7,-3.3
201501,30.0,-2.0
201601,34.5,2.5
201701,38.1,6.1
201801,31.8,-0.2
201901,32.6,0.6
202001,39.2,7.2
202101,34.8,2.8
202201,30.4,-1.6
202301,43.5,11.5
