Num processed,Mean queue size,Mean busy handlers,Mean wait time,Failure probability
1109.0,0.09668,0.759,0.0872,0.00715
1104.0,0.02988,0.52052,0.02707,0.0
1104.0,0.55309,0.53453,0.50108,0.0
1979.0,0.79421,1.97117,0.40133,0.0193
1628.0,1.09471,1.60854,0.67245,0.17475
1628.0,0.05112,1.11506,0.0314,0.0
1081.0,0.0037,0.55612,0.00342,0.0
917.0,5.21016,0.91901,5.68378,0.14603
832.0,2.283,0.78847,2.74498,0.08497
493.0,6.67152,0.99915,13.53265,0.75404
492.0,0.03566,0.48746,0.07249,0.0
493.0,0.05781,0.24238,0.11727,0.0
1092.0,0.62986,0.55531,0.57715,0.01086
1091.0,0.09216,0.70212,0.08452,0.0
1104.0,0.00743,0.72876,0.00673,0.0
583.0,0.02864,0.55726,0.04912,0.0
2036.0,0.86407,1.34063,0.4244,0.03091
584.0,4.57456,0.99685,7.83325,0.71036
1716.0,0.48351,1.1723,0.28177,0.0
1314.0,0.10524,1.3302,0.0801,0.0068
1323.0,1.35784,2.6595,1.02636,0.22539
1487.0,1.35531,0.73359,0.91162,0.04676
1486.0,0.04268,0.9867,0.02873,0.0
493.0,6.48518,0.99717,13.15723,0.66241
480.0,0.00476,0.48914,0.00991,0.0
480.0,2.08697,0.96007,4.34845,0.48726
941.0,5.25577,1.90402,5.58606,0.09231
1459.0,5.76897,0.97091,3.95551,0.10808
1459.0,0.08383,0.6931,0.05748,0.0
1646.0,2.47626,0.8315,1.50497,0.012
